Author	n (strains)	publication title	journal	publication URL	strains
Elizabeth Batty et al	6	unknown	unknown	unknown	hCoV-19/Thailand/PathumThani-CONI-0525/2021,hCoV-19/Thailand/PathumThani-CONI-0683/2021,hCoV-19/Thailand/Bangkok-CONI-0930/2021,hCoV-19/Thailand/Bangkok-CONI-0719/2021,hCoV-19/Thailand/Bangkok-CONI-0857/2021,hCoV-19/Thailand/Songkhla-CONI-0812/2021
Noah Hull et al	1	unknown	unknown	unknown	hCoV-19/USA/WY-WYPHL-20011656/2020
Matthew Sinn et al	3	unknown	unknown	unknown	hCoV-19/USA/MO-MSPHL-000456/2020,hCoV-19/USA/MO-MSPHL-000424/2021,hCoV-19/USA/MO-MSPHL-002592/2021
Njouom Richard et al	3	unknown	unknown	unknown	hCoV-19/Cameroon/Douala-20V-3104/2020,hCoV-19/Cameroon/Yaounde-21V-07226/2021,hCoV-19/Cameroon/Douala-20V-3045/2020
Jack Chen et al	1	unknown	unknown	unknown	hCoV-19/USA/AK-PHL040/2020
Rasmus Kirkegaard et al	1	unknown	unknown	unknown	hCoV-19/Denmark/ALAB-SSI-1096/2020
Valesano et al	1	unknown	unknown	unknown	hCoV-19/USA/MI-UM-10033818123/2020
Lukasz Rabalski et al	3	unknown	unknown	unknown	hCoV-19/Poland/Pomorskie_MWB_60/2020,hCoV-19/Poland/Pomorskie_MWB_161/2021,hCoV-19/Poland/Sla6/2020
Chu et al	1	unknown	unknown	unknown	hCoV-19/USA/WA-S226/2020
Richard Tillett et al	2	unknown	unknown	unknown	hCoV-19/USA/NV-NSPHL-A0188/2020,hCoV-19/USA/NV-NSPHL-A0205/2020
Thanh Le Viet et al	3	unknown	unknown	unknown	hCoV-19/Zimbabwe/ZW-25/2020,hCoV-19/Zimbabwe/ZW-29/2020,hCoV-19/Zimbabwe/ZW-6970/2020
Mary Petrone et al	1	unknown	unknown	unknown	hCoV-19/USA/NH-Yale-1041/2020
SEARCH Alliance San Diego with Tracy Basler et al	1	unknown	unknown	unknown	hCoV-19/USA/CA-ALSR-3518/2020
S. Wesley Long et al	4	unknown	unknown	unknown	hCoV-19/USA/TX-HMH-1924/2020,hCoV-19/USA/TX-HMH-1511/2020,hCoV-19/USA/TX-HMH-MCoV-14723/2020,hCoV-19/USA/TX-HMH-MCoV-15359/2020
Abdaliyev Askar et al	4	unknown	unknown	unknown	hCoV-19/Kazakhstan/33496/2020,hCoV-19/Kazakhstan/3552/2020,hCoV-19/Kazakhstan/7827-2/2021,hCoV-19/Kazakhstan/2610/2021
Ana S. Gonzalez-Reiche et al	1	unknown	unknown	unknown	hCoV-19/USA/NY-MSHSPSP-PV15110/2020
Laura Bankers et al	2	unknown	unknown	unknown	hCoV-19/USA/CO-CDPHE-2007152312/2020,hCoV-19/USA/CO-CDPHE-2100509173/2021
Nabaes Jodar et al	2	unknown	unknown	unknown	hCoV-19/Argentina/PAIS-A0047/2020,hCoV-19/Argentina/PAIS-A0223/2020
Fernández et al	5	unknown	unknown	unknown	hCoV-19/Argentina/PAIS-G0100/2020,hCoV-19/Argentina/PAIS-G0328/2021,hCoV-19/Argentina/PAIS-G0326/2021,hCoV-19/Argentina/PAIS-G0327/2021,hCoV-19/Argentina/PAIS-G0319/2021
Joaquín Ezpeleta et al	1	unknown	unknown	unknown	hCoV-19/Argentina/PAIS-H0053/2020
Alexay et al	4	unknown	unknown	unknown	hCoV-19/Argentina/PAIS-B0072/2020,hCoV-19/Argentina/PAIS-A0395/2020,hCoV-19/Argentina/PAIS-A0473/2021,hCoV-19/Argentina/PAIS-A0512/2021
Baumeister E. et al	14	unknown	unknown	unknown	hCoV-19/Argentina/INEI097815/2020,hCoV-19/Argentina/INEI020955/2020,hCoV-19/Argentina/INEI011800/2020,hCoV-19/Argentina/INEI103814/2021,hCoV-19/Argentina/INEI104611/2021,hCoV-19/Argentina/INEI104643/2021,hCoV-19/Argentina/INEI104300/2021,hCoV-19/Argentina/INEI104425/2021,hCoV-19/Argentina/INEI104327/2021,hCoV-19/Argentina/INEI104589/2021,hCoV-19/Argentina/INEI104404/2021,hCoV-19/Argentina/INEI104284/2021,hCoV-19/Argentina/INEI104381/2021,hCoV-19/Argentina/INEI104593/2021
Gisela Barrera-Badillo et al	1	unknown	unknown	unknown	hCoV-19/Mexico/GUA-InDRE-19/2020
Minwoo Kim et al	1	unknown	unknown	unknown	hCoV-19/SouthKorea/YS008/2020
Ae Kyung Park et al	18	unknown	unknown	unknown	hCoV-19/SouthKorea/KDCA0225/2020,hCoV-19/SouthKorea/KDCA0415/2020,hCoV-19/SouthKorea/KDCA0122/2020,hCoV-19/SouthKorea/KDCA3549/2020,hCoV-19/SouthKorea/KDCA1555/2021,hCoV-19/SouthKorea/KDCA2338/2021,hCoV-19/SouthKorea/KDCA0013/2020,hCoV-19/SouthKorea/KDCA1122/2020,hCoV-19/SouthKorea/KDCA1880/2021,hCoV-19/SouthKorea/KDCA1217/2020,hCoV-19/SouthKorea/KDCA3836/2021,hCoV-19/SouthKorea/KDCA1708/2021,hCoV-19/SouthKorea/KDCA1961/2021,hCoV-19/SouthKorea/KDCA4439/2021,hCoV-19/SouthKorea/KDCA7217/2021,hCoV-19/SouthKorea/KDCA7144/2021,hCoV-19/SouthKorea/KDCA0469/2020,hCoV-19/SouthKorea/KDCA4267/2021
Chase K et al	1	unknown	unknown	unknown	hCoV-19/USA/NC-NCSLPH_0045/2020
Brendan L. O'Connell et al	2	unknown	unknown	unknown	hCoV-19/USA/OR-OHSU-2643/2020,hCoV-19/USA/OR-OHSU-1071/2020
C. Paul Morris et al	3	unknown	unknown	unknown	hCoV-19/USA/MD-HP07411-PIDRKLXCBT/2020,hCoV-19/USA/MD-HP06350-PIDOJTDRYG/2020,hCoV-19/USA/MD-HP08106-PIDASOSMKQ/2021
Rivera NR et al	1	unknown	unknown	unknown	hCoV-19/ElSalvador/INS-01/2020
Yan Li et al	1	unknown	unknown	unknown	hCoV-19/USA/MS-CDC-6580/2020
Mike Grose et al	3	unknown	unknown	unknown	hCoV-19/USA/KS-KHEL-0257/2020,hCoV-19/USA/KS-KHEL-4443/2021,hCoV-19/USA/KS-KHEL-1743/2021
VLOOKUP(C209 et al	1	unknown	unknown	unknown	hCoV-19/USA/OR-OHSU-8445/2020
Rashmi Tuladhar et al	2	unknown	unknown	unknown	hCoV-19/USA/TX-DSHS-1479/2020,hCoV-19/USA/TX-DSHS-7442/2021
"R. Beukelman et al	2	unknown	unknown	unknown	hCoV-19/USA/ID-IBL-639058/2020,hCoV-19/USA/ID-IBL-744608/2021
Peter W. Cook et al	5	unknown	unknown	unknown	hCoV-19/USA/TX-CDC-QDX22528029/2021,hCoV-19/USA/NC-CDC-LC0016153/2021,hCoV-19/USA/NC-CDC-LC0012496/2021,hCoV-19/USA/IL-CDC-QDX22086227/2021,hCoV-19/USA/KS-CDC-LC0007780/2021
Pavitra Roychoudhury et al	9	unknown	unknown	unknown	hCoV-19/Colombia/DC-UW-651259030101/2020,hCoV-19/USA/NH-UW-5500364/2020,hCoV-19/USA/OR-UW-21052749224/2021,hCoV-19/USA/WA-CDC-UW21071870796/2021,hCoV-19/USA/WA-CDC-UW21080135941/2021,hCoV-19/Armenia/UW-ARM37/2020,hCoV-19/USA/WA-UW-60982/2021,hCoV-19/USA/IN-UW-5500656/2020,hCoV-19/USA/WA-UW-21043067674/2021
Judy Crabtree et al	2	unknown	unknown	unknown	hCoV-19/USA/LA-BIE-LSUH000908/2021,hCoV-19/USA/LA-BIE-LSUH001271/2021
Lee H. Harrison et al	1	unknown	unknown	unknown	hCoV-19/USA/PA-MGEL-00551/2020
Holmes et al	2	unknown	unknown	unknown	hCoV-19/USA/OH-ODH-SC1032454/2021,hCoV-19/USA/OH-ODH-SC038902/2020
Queen et al	2	unknown	unknown	unknown	hCoV-19/USA/MT-CDC-2-3693496/2020,hCoV-19/USA/AR-CDC-2-3693691/2020
Jane Grimwood et al	1	unknown	unknown	unknown	hCoV-19/USA/AL-HGSC-JGFM/2020
Erin L. Young et al	2	unknown	unknown	unknown	hCoV-19/USA/UT-UPHL-210612539220/2021,hCoV-19/USA/UT-UPHL-210528439953/2021
Mili Sheth et al	17	unknown	unknown	unknown	hCoV-19/USA/GU-CDC-2-3847103/2021,hCoV-19/USA/RI-CDC-2-4451156/2021,hCoV-19/USA/GU-CDC-2-4651478/2021,hCoV-19/NorthernMarianaIslands/MP-CDC-2-4634281/2021,hCoV-19/USA/IA-CDC-2-4567673/2021,hCoV-19/NorthernMarianaIslands/MP-CDC-2-4634175/2021,hCoV-19/USA/NE-CDC-2-4595219/2021,hCoV-19/USA/NH-CDC-2-3998471/2021,hCoV-19/USA/GU-CDC-2-4448976/2021,hCoV-19/USA/GU-CDC-2-4651378/2021,hCoV-19/NorthernMarianaIslands/MP-CDC-2-4392999/2021,hCoV-19/USA/GU-CDC-2-4356406/2021,hCoV-19/USA/SD-CDC-2-4242975/2021,hCoV-19/USA/IA-CDC-2-4449398/2021,hCoV-19/USA/DC-CDC-2-4310003/2021,hCoV-19/USA/SD-CDC-2-4611175/2021,hCoV-19/USA/OK-CDC-4180956-002/2021
Deborah A. Nickerson et al	2	unknown	unknown	unknown	hCoV-19/USA/WA-S3001/2020,hCoV-19/USA/WA-S7897/2021
Pamela O'Brien et al	6	unknown	unknown	unknown	hCoV-19/USA/HI-H200015/2020,hCoV-19/USA/HI-H212594/2021,hCoV-19/USA/HI-H200154/2020,hCoV-19/USA/HI-H213003/2021,hCoV-19/USA/HI-H212092/2021,hCoV-19/USA/HI-H212777/2021
Anderson et al	1	unknown	unknown	unknown	hCoV-19/USA/NJ-QDX-74/2020
Caly L. et al B	17	unknown	unknown	unknown	hCoV-19/Australia/VIC1561/2020,hCoV-19/Australia/VIC18383/2021,hCoV-19/Australia/VIC18447/2021,hCoV-19/Australia/VIC18560/2021,hCoV-19/Australia/VIC18736/2021,hCoV-19/Australia/VIC18735/2021,hCoV-19/Australia/VIC18476/2021,hCoV-19/Australia/VIC18821/2021,hCoV-19/Australia/VIC18781/2021,hCoV-19/Australia/VIC18439/2021,hCoV-19/Australia/VIC18919/2021,hCoV-19/Australia/VIC16199/2020,hCoV-19/Australia/VIC17990/2020,hCoV-19/Australia/VIC18481/2021,hCoV-19/Australia/VIC18461/2021,hCoV-19/Australia/VIC18169/2021,hCoV-19/Australia/VIC18470/2021
NPHL COVID-19 Response Team et al	5	unknown	unknown	unknown	hCoV-19/USA/NE-MP_NCOV20-27493/2021,hCoV-19/USA/NE-NCOV21-26805/2021,hCoV-19/USA/NE-NCOV21-24201/2021,hCoV-19/USA/NE-TESTNE_A2CTWB2/2021,hCoV-19/USA/NE-TESTNE_A2AA1MK/2021
Nino Berishvili et al	1	unknown	unknown	unknown	hCoV-19/Georgia/Tb-5727/2020
Daniel F Gudbjartsson et al B	8	unknown	unknown	unknown	hCoV-19/Iceland/1175/2020,hCoV-19/Iceland/5634/2021,hCoV-19/Iceland/6513/2021,hCoV-19/Iceland/4806/2021,hCoV-19/Iceland/4193/2020,hCoV-19/Iceland/4564/2021,hCoV-19/Iceland/4559/2020,hCoV-19/Iceland/4258/2021
Emmanouil Athanasiadis et al	7	unknown	unknown	unknown	hCoV-19/Greece/2351L/2020,hCoV-19/Greece/8281/2020,hCoV-19/Greece/204449/2021,hCoV-19/Greece/196214/2021,hCoV-19/Greece/194311/2021,hCoV-19/Greece/105356/2021,hCoV-19/Greece/196285/2021
Haruka Abe et al	2	unknown	unknown	unknown	hCoV-19/Gabon/ITM-K028/2020,hCoV-19/Gabon/ITM-K023/2020
Goba et al	1	unknown	unknown	unknown	hCoV-19/SierraLeone/KGH-G-8603/2020
Ghanchi et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/AKUs5/2020
Meri Pantsulaia et al	7	unknown	unknown	unknown	hCoV-19/Georgia/Tb-27822/2020,hCoV-19/Georgia/Tb-SNGS362/2021,hCoV-19/Georgia/Tb-SNGS374/2021,hCoV-19/Georgia/Tb-RNGS003/2021,hCoV-19/Georgia/Tb-SNGS037/2021,hCoV-19/Georgia/Tb-SNGS196/2021,hCoV-19/Georgia/Tb-SNGS179/2021
Matt Plumb et al	2	unknown	unknown	unknown	hCoV-19/USA/SD-SDPHL-0002/2020,hCoV-19/USA/SD-SDPHL-0008/2020
Souissi et al	1	unknown	unknown	unknown	hCoV-19/Tunisia/20424/2020
Mouna Ouadghiri et al	7	unknown	unknown	unknown	hCoV-19/Morocco/FMP-184/2021,hCoV-19/Morocco/FMP-183/2020,hCoV-19/Morocco/FMP-165/2021,hCoV-19/Morocco/FMP-275/2021,hCoV-19/Morocco/FMP-169/2021,hCoV-19/Morocco/FMP-279/2021,hCoV-19/Morocco/FMP-277/2021
Daryl M. Gohl et al	5	unknown	unknown	unknown	hCoV-19/USA/SD-UMGC_55/2020,hCoV-19/USA/SD-UMGC_65/2020,hCoV-19/USA/MN-UMGC-4319/2021,hCoV-19/USA/MO-UMGC-7166/2021,hCoV-19/USA/MO-UMGC-7184/2021
Henry Lee et al	4	unknown	unknown	unknown	hCoV-19/USA/NY-PRL-2021_0625_51K02/2020,hCoV-19/USA/NY-PRL-2021_0415_01H08/2021,hCoV-19/USA/NY-PRL-2021_0803_02F08/2021,hCoV-19/USA/NY-PRL-2021_0714_00D12/2021
Gathii Kimita et al	3	unknown	unknown	unknown	hCoV-19/Kenya/RUS-COV-1641/2020,hCoV-19/Kenya/MOH-K-LAB-PM-749/2020,hCoV-19/Kenya/OSBP-BUS-45792/2021
Josephine Darpolor et al	1	unknown	unknown	unknown	hCoV-19/USA/RI-RKL_006_20-119928_Mako_Medical/2020
Anna Uehara et al	1	unknown	unknown	unknown	hCoV-19/USA/VI-CDC-4670/2020
Ronnie Gavilan Chavez et al	4	unknown	unknown	unknown	hCoV-19/Peru/LIM-INS-467/2020,hCoV-19/Peru/LIM-INS-368/2020,hCoV-19/Peru/LIM-INS-411/2020,hCoV-19/Peru/LOR-INS-573/2021
Bas B Oude Munnink et al	20	unknown	unknown	unknown	hCoV-19/Suriname/SR-261/2021,hCoV-19/Suriname/SR-84/2020,hCoV-19/Suriname/SR-99/2020,hCoV-19/Suriname/SR-121/2021,hCoV-19/Suriname/SR-193/2021,hCoV-19/Suriname/SR-244/2021,hCoV-19/Suriname/SR-289/2021,hCoV-19/Suriname/SR-239/2021,hCoV-19/Suriname/SR-279/2021,hCoV-19/Suriname/SR-281/2021,hCoV-19/Suriname/SR-274/2021,hCoV-19/Suriname/SR-294/2021,hCoV-19/Suriname/SR-249/2021,hCoV-19/Suriname/SR-233/2021,hCoV-19/Suriname/SR-238/2021,hCoV-19/Suriname/SR-259/2021,hCoV-19/Suriname/SR-211/2021,hCoV-19/Suriname/SR-234/2021,hCoV-19/Suriname/SR-235/2021,hCoV-19/Suriname/SR-232/2021
Jim Mildenberger et al	5	unknown	unknown	unknown	hCoV-19/USA/WY-WYPHL-21032900/2021,hCoV-19/USA/WY-WYPHL-21052510/2021,hCoV-19/USA/WY-WYPHL-21057596/2021,hCoV-19/USA/WY-WYPHL21038352/2021,hCoV-19/USA/WY-WPHL-21024138/2021
Janis Doss et al	3	unknown	unknown	unknown	hCoV-19/USA/DC-DFS-PHL-0861/2021,hCoV-19/USA/DC-DFS-PHL-0600/2021,hCoV-19/USA/DC-DFS-PHL-0934/2021
Freeman et al	2	unknown	unknown	unknown	hCoV-19/USA/SC-DHEC-1877/2021,hCoV-19/USA/SC-DHEC-1621/2021
Siddle et al	16	unknown	unknown	unknown	hCoV-19/USA/RI-CDCBI-RIDOH_00704/2021,hCoV-19/USA/VT-CDCBI-CRSP_4JFBUBLKJCNKC2N2/2021,hCoV-19/USA/MA-CDCBI-CRSP_5ONAQG5JT7C4T7D6/2021,hCoV-19/USA/VT-CDCBI-CRSP_YDLWHYPHFFZ4CWL7/2021,hCoV-19/USA/CT-CDCBI-CRSP_I7AOPTD6ATACNHYS/2021,hCoV-19/USA/NH-CDCBI-CRSP_YVOR37BQAHRCQHFG/2021,hCoV-19/USA/MA-CDCBI-CRSP_KXOYY2ND53PR6VHF/2021,hCoV-19/USA/NH-CDCBI-CRSP_23ILKETZMH3ZBSJI/2021,hCoV-19/USA/VT-CDCBI-CRSP_V7KGE2GNMOAPBYR2/2021,hCoV-19/USA/MA-CDCBI-CRSP_JOMN725I7ZPS2AT5/2021,hCoV-19/USA/RI-CDCBI-RIDOH_6TGDWWZWACFIJLUK/2021,hCoV-19/USA/RI-CDCBI-CRSP_5ALNW5MROK4T423J/2021,hCoV-19/USA/VT-CDCBI-CRSP_FAR5OGJHZVLKCK2A/2021,hCoV-19/USA/VT-CDCBI-CRSP_01366/2021,hCoV-19/USA/VT-CDCBI-CRSP_HLLA5AM3IVVFEY7U/2021,hCoV-19/USA/MA-CDCBI-CRSP_RJW4WDIOX7223TNJ/2021
Gilbert et al	1	unknown	unknown	unknown	hCoV-19/USA/MI-UM-10039783595/2021
Matluk et al	4	unknown	unknown	unknown	hCoV-19/USA/ME-HETL-J3008/2021,hCoV-19/USA/ME-HETL-J4420/2021,hCoV-19/USA/ME-HETL-J3639/2021,hCoV-19/USA/ME-HETL-J3399/2021
Bergeron D et al	2	unknown	unknown	unknown	hCoV-19/USA/CT-JAX-JAX001007/2021,hCoV-19/USA/CT-JAX-JAX000916/2021
Victor Virgilio Calderon et al	1	unknown	unknown	unknown	hCoV-19/DominicanRepublic/UNIBE004/2021
Derly Andrade Molina et al	3	unknown	unknown	unknown	hCoV-19/Ecuador/UEES-INTERLAB-6702706/2021,hCoV-19/Ecuador/UEES-INTERLAB-6542610/2021,hCoV-19/Ecuador/UEES-HLV-15AP/2021
Erika Muñoz et al	2	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-1673/2021,hCoV-19/Ecuador/USFQ-1865/2021
Chandima Jeewandara et al	15	unknown	unknown	unknown	hCoV-19/SriLanka/CMC76926/2021,hCoV-19/SriLanka/MIN01/2020,hCoV-19/SriLanka/CMC60514/2020,hCoV-19/SriLanka/aicbu743/2021,hCoV-19/SriLanka/CMC116962/2021,hCoV-19/SriLanka/aicbu703/2021,hCoV-19/SriLanka/CDR194/2020,hCoV-19/SriLanka/MULQ106/2021,hCoV-19/SriLanka/QA72/2021,hCoV-19/SriLanka/CDR110/2021,hCoV-19/SriLanka/CMC89508/2021,hCoV-19/SriLanka/CDR101/2021,hCoV-19/SriLanka/CDR161/2021,hCoV-19/SriLanka/aicbu605/2021,hCoV-19/SriLanka/CDR141/2021
Daryl Domman et al	2	unknown	unknown	unknown	hCoV-19/USA/AR-UNM-V00157/2021,hCoV-19/USA/AR-UNM-ADH2114600000240/2021
Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	27	unknown	unknown	unknown	hCoV-19/Mexico/COA_LANGEBIO_IMSS_0514/2021,hCoV-19/Mexico/TAB_LANGEBIO_IMSS_0629/2021,hCoV-19/Mexico/GRO-LANGEBIO_IMSS_1089/2021,hCoV-19/Mexico/BCS-LANGEBIO_IMSS_1716/2021,hCoV-19/Mexico/VER-LANGEBIO_IMSS_1760/2021,hCoV-19/Mexico/OAX-LANGEBIO_IMSS_1828/2021,hCoV-19/Mexico/HID_LANGEBIO_IMSS_0809/2021,hCoV-19/Mexico/NAY_LANGEBIO_IMSS_0740/2021,hCoV-19/Mexico/AGU_LANGEBIO_IMSS_0711/2021,hCoV-19/Mexico/SLP_LANGEBIO_IMSS_0672/2021,hCoV-19/Mexico/ZAC_LANGEBIO_IMSS_0681/2021,hCoV-19/Mexico/COL-LANGEBIO_IMSS_1043/2021,hCoV-19/Mexico/JAL-LANGEBIO_IMSS_1026/2021,hCoV-19/Mexico/YUC_LANGEBIO_IMSS_0609/2021,hCoV-19/Mexico/COL_LANGEBIO_IMSS_0738/2021,hCoV-19/Mexico/DUR_LANGEBIO_IMSS_0522/2021,hCoV-19/Mexico/NLE_LANGEBIO_IMSS_0517/2021,hCoV-19/Mexico/SLP_LANGEBIO_IMSS_11626-NC/2021,hCoV-19/Mexico/GRO-LANGEBIO_IMSS_1872/2021,hCoV-19/Mexico/CAM-LANGEBIO_IMSS_1551/2021,hCoV-19/Mexico/YUC-LANGEBIO_IMSS_1544/2021,hCoV-19/Mexico/ROO-LANGEBIO_IMSS_0960/2021,hCoV-19/Mexico/COL-LANGEBIO_IMSS_1266/2021,hCoV-19/Mexico/CAM-LANGEBIO_IMSS_0940/2021,hCoV-19/Mexico/NLE-LANGEBIO_IMSS_1355/2021,hCoV-19/Mexico/DUR-LANGEBIO_IMSS_0870/2021,hCoV-19/Mexico/OAX_LANGEBIO_IMSS_0812/2021
Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	47	unknown	unknown	unknown	hCoV-19/Mexico/SON_CIAD-HMO_B1838/2021,hCoV-19/Mexico/JAL-IBT_IMSS_1857/2021,hCoV-19/Mexico/GUA_IBT_IMSS_2284/2021,hCoV-19/Mexico/JAL_IBT_IMSS_2253/2021,hCoV-19/Mexico/DUR_IBT_IMSS_2318/2021,hCoV-19/Mexico/NAY-CIAD-4760-0712/2021,hCoV-19/Mexico/YUC-INER_IMSS_1341/2021,hCoV-19/Mexico/CHP_IBT_IMSS_2406/2021,hCoV-19/Mexico/COA_IBT_IMSS_2317/2021,hCoV-19/Mexico/ZAC_IBT_IMSS_2125/2021,hCoV-19/Mexico/NLE_IBT_IMSS_2304/2021,hCoV-19/Mexico/CHH-INER_IMSS_1409/2021,hCoV-19/Mexico/VER-INER_IMSS_1578/2021,hCoV-19/Mexico/CMX-INER-IBT-0399/2021,hCoV-19/Mexico/MOR_IBT_IMSS_2451/2021,hCoV-19/Mexico/TLA_IBT_IMSS_2393/2021,hCoV-19/Mexico/COL_IBT_IMSS_2199/2021,hCoV-19/Mexico/OAX_IBT_IMSS_2506/2021,hCoV-19/Mexico/ZAC_INER_IMSS_00455/2021,hCoV-19/Mexico/TLA_INER_IMSS_00591/2021,hCoV-19/Mexico/MOR-IBT_IMSS_2028/2021,hCoV-19/Mexico/CMX_IBT_IMSS_1282/2021,hCoV-19/Mexico/PUE_IBT_IMSS_1310/2021,hCoV-19/Mexico/TLA_INER_IMSS_1325/2021,hCoV-19/Mexico/TAB_INER_IMSS_1160/2021,hCoV-19/Mexico/TLA_IBT_IMSS_17405/NC/2021,hCoV-19/Mexico/NAY_INER_IMSS_1166/2021,hCoV-19/Mexico/PUE-INER-IMSS-00131/2021,hCoV-19/Mexico/ZAC_IBT_IMSS_1496/2021,hCoV-19/Mexico/VER_INER_IMSS_00576/2021,hCoV-19/Mexico/ZAC_IBT_IMSS_1468/2021,hCoV-19/Mexico/AGU_IBT_IMSS_1465/2021,hCoV-19/Mexico/PUE_IBT_IMSS_1256/2021,hCoV-19/Mexico/MEX_INER_IMSS_00985/2021,hCoV-19/Mexico/CMX-INER-IBT-0293/2020,hCoV-19/Mexico/HID-IBT_IMSS_2007/2021,hCoV-19/Mexico/BCS-IBT_IMSS_1908/2021,hCoV-19/Mexico/CAM-INER_IMSS_1366/2021,hCoV-19/Mexico/SLP_IBT_IMSS_10564-NC/2021,hCoV-19/Mexico/TAB_IBT_IMSS_2060/2021,hCoV-19/Mexico/NLE_INER_IMSS_1056/2021,hCoV-19/Mexico/SIN_CIAD-MZT_HJ1711/2021,hCoV-19/Mexico/CHH_IBT_IMSS_1430/2021,hCoV-19/Mexico/NAY-IBT_IMSS_1851/2021,hCoV-19/Mexico/COA_INER_IMSS_1085/2021,hCoV-19/Mexico/SLP_IBT_IMSS_2111/2021,hCoV-19/Mexico/QUE-IBT_IMSS_1993/2021
Pan et al	1	unknown	unknown	unknown	hCoV-19/Mexico/BCN-NHRC-OID_843657/2021
Catalina Pardo-Roa et al	1	unknown	unknown	unknown	hCoV-19/Chile/PUC_MVL_1051/2021
Foster et al	19	unknown	unknown	unknown	hCoV-19/Australia/NSW-R0075/2021,hCoV-19/Australia/NSW4473/2021,hCoV-19/Australia/NSW4439/2021,hCoV-19/Australia/NSW4690/2021,hCoV-19/Australia/NSW-R0255/2021,hCoV-19/Australia/NSW-R0220/2021,hCoV-19/Australia/NSW4572/2021,hCoV-19/Australia/NSW4641/2021,hCoV-19/Australia/NSW-R0598/2021,hCoV-19/Australia/NSW-SAVID-5030/2021,hCoV-19/Australia/NSW-RPAH-0937/2021,hCoV-19/Australia/NSW-R0491/2021,hCoV-19/Australia/NSW-R0536/2021,hCoV-19/Australia/NSW-R0477/2021,hCoV-19/Australia/NSW2985/2020,hCoV-19/Australia/NSW4482/2021,hCoV-19/Australia/NSW4670/2021,hCoV-19/Australia/NSW-R0265/2021,hCoV-19/Australia/NSW-R0250/2021
"Jolene Bowers et al	2	unknown	unknown	unknown	hCoV-19/USA/AZ-TG787347/2021,hCoV-19/USA/AZ-TG877593/2021
Harry Gao et al	1	unknown	unknown	unknown	hCoV-19/USA/CA-RD582-CV0057/2021
Andres F. Cardona-Rios et al	5	unknown	unknown	unknown	hCoV-19/Colombia/ANT-CWOHC-VG-SEC00433Q/2021,hCoV-19/Colombia/ANT-CWOHC-VG-SEC00710H/2021,hCoV-19/Colombia/ANT-CWOHC-VG-SEC00781A/2021,hCoV-19/Colombia/ANT-CWOHC-VG-SEC00432P/2021,hCoV-19/Colombia/ANT-CWOHC-VG-SEC00047U/2021
Dimas Tadeu Covas et al	8	unknown	unknown	unknown	hCoV-19/Brazil/SP-IB_120348/2021,hCoV-19/Brazil/SP-IB_122304/2021,hCoV-19/Brazil/SP-IB_123101/2021,hCoV-19/Brazil/SP-IB_102609/2021,hCoV-19/Brazil/SP-IB-102845/2021,hCoV-19/Brazil/SP-IB_103013/2021,hCoV-19/Brazil/SP-IB_110573/2021,hCoV-19/Brazil/SP-IB_111701/2021
Luis Mendoza et al	1	unknown	unknown	unknown	hCoV-19/Mexico/PUE-LABOPAT-82_27114/2021
Sylwia Krzetowska et al	3	unknown	unknown	unknown	hCoV-19/Poland/1006WSN2021_wsseol/2021,hCoV-19/Poland/0953WSN2021_wsseol/2021,hCoV-19/Poland/1013WSN2021_wsseol/2021
Stephanie DeRonde et al	6	unknown	unknown	unknown	hCoV-19/USA/AK-PHL9314/2021,hCoV-19/USA/AK-PHL2587/2020,hCoV-19/USA/AK-PHL10456/2021,hCoV-19/USA/AK-PHL8686/2021,hCoV-19/USA/AK-PHL8471/2021,hCoV-19/USA/AK-PHL6680/2020
Simón Villegas Velásquez et al	1	unknown	unknown	unknown	hCoV-19/Colombia/ANT-CWOHC-VG-SEC00843K/2021
Michael Zody et al	1	unknown	unknown	unknown	hCoV-19/USA/NY-NYGC-2910-VTM2-TNIS098/2021
Maria Stella López et al	1	unknown	unknown	unknown	hCoV-19/Colombia/ANT-CWOHC-VG-SEC01343Q/2021
Nalia Ismael et al	7	unknown	unknown	unknown	hCoV-19/Mozambique/CERI-KRISP-K015089/2021,hCoV-19/Mozambique/INS-K007959/2020,hCoV-19/Mozambique/CERI-KRISP-K015038/2021,hCoV-19/Mozambique/CERI-KRISP-K018287/2021,hCoV-19/Mozambique/CERI-KRISP-K018292/2021,hCoV-19/Mozambique/INS-K011782/2020,hCoV-19/Mozambique/CERI-KRISP-K018290/2021
Susan Engelbrecht et al	2	unknown	unknown	unknown	hCoV-19/SouthAfrica/Tygerberg-391/2020,hCoV-19/SouthAfrica/Tygerberg_1113/2021
